date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260523,Kiki Rice,TOR,POR @ TOR,Points,12.5,OVER,BO,-110,57.8,5,True,True,19,WIN,0.9091,False
20260523,Emily Engstler,POR,POR @ TOR,Points,9.5,UNDER,BO,-110,45.1,6,True,True,16,LOSS,-1.0,False
20260523,Dearica Hamby,LA,LA @ LV,Points,16.5,OVER,BR,-110,43.0,7,True,True,16,LOSS,-1.0,False
20260523,Nneka Ogwumike,LA,LA @ LV,Points,16.5,OVER,BO,-110,42.2,8,True,True,,VOID,0.0,False
20260523,Bridget Carleton,POR,POR @ TOR,Rebounds,3.5,OVER,DK,-110,40.2,9,True,True,2,LOSS,-1.0,False
20260523,Gabriela Jaquez,CHI,MIN @ CHI,Rebounds,4.5,OVER,BO,-110,39.5,10,True,True,4,LOSS,-1.0,False
20260523,Olivia Miles,MIN,MIN @ CHI,Points,14.5,OVER,FD,-110,38.1,11,False,True,14,LOSS,-1.0,False
20260523,Dearica Hamby,LA,LA @ LV,Rebounds,7.5,OVER,BO,-110,36.1,12,False,True,5,LOSS,-1.0,False
20260523,Kamilla Cardoso,CHI,MIN @ CHI,Points,13.5,OVER,DK,-110,34.2,13,False,True,17,WIN,0.9091,False
20260523,Jacy Sheldon,CHI,MIN @ CHI,Points,7.5,OVER,BO,-110,32.7,14,False,True,5,LOSS,-1.0,False
20260523,Ariel Atkins,LA,LA @ LV,Rebounds,3.5,OVER,BO,-110,29.4,15,False,True,3,LOSS,-1.0,False
20260523,NaLyssa Smith,LV,LA @ LV,Rebounds,5.5,UNDER,FD,-110,28.7,16,False,True,9,LOSS,-1.0,False
20260523,Kayla McBride,MIN,MIN @ CHI,Rebounds,3.5,UNDER,FD,-110,27.9,17,False,True,6,LOSS,-1.0,False
20260524,Flau'jae Johnson,SEA,WSH @ SEA,Points,14.5,UNDER,BO,-110,84.7,1,True,True,17,LOSS,-1.0,False
20260524,Satou Sabally,NY,DAL @ NY,Points,9.5,OVER,DK,-110,80.9,2,True,True,20,WIN,0.9091,False
20260524,Sabrina Ionescu,NY,DAL @ NY,Points,13.5,OVER,BO,-110,66.4,3,True,True,11,LOSS,-1.0,False
20260524,Shakira Austin,WSH,WSH @ SEA,Rebounds,8.5,UNDER,DK,-110,47.6,4,True,True,4,WIN,0.9091,False
